lap_no,position,car_no,lap_time,lap_time_sec,gap
22,15,99,1:31.135,91.135,73.833
22,16,4,1:31.308,91.308,74.367
22,17,8,1:31.037,91.037,74.790
22,18,23,1:30.366,90.366,76.113
22,19,11,1:30.554,90.554,76.839
22,20,63,1:31.812,91.812,94.301
22,21,3,1:30.419,90.419,100.668
23,1,33,1:29.025,89.025,
23,2,77,1:46.050,106.05,PIT
23,3,16,1:28.921,88.921,10.853
23,4,44,1:28.754,88.754,18.318
23,5,5,1:28.637,88.637,19.947
23,6,18,1:29.294,89.294,35.574
23,7,26,1:29.611,89.611,37.851
23,8,10,1:29.645,89.645,38.522
23,9,20,1:29.142,89.142,49.568
23,10,27,1:29.277,89.277,51.418
23,11,7,1:29.188,89.188,54.306
23,12,99,1:30.880,90.88,60.736
23,13,4,1:30.768,90.768,61.158
23,14,8,1:31.096,91.096,61.909
23,15,23,1:30.940,90.94,63.076
23,16,11,1:30.759,90.759,63.621
23,17,88,1:38.197,98.197,1 LAP
23,18,63,1:31.693,91.693,82.017
23,19,3,1:30.246,90.246,86.937
24,1,33,1:29.751,89.751,
24,2,77,1:33.805,93.805,6.127
24,3,16,1:29.335,89.335,10.437
24,4,44,1:28.496,88.496,17.063
24,5,5,1:28.702,88.702,18.898
24,6,18,1:29.130,89.13,34.953
24,7,26,1:29.306,89.306,37.406
24,8,10,1:29.354,89.354,38.125
24,9,20,1:29.043,89.043,48.860
24,10,27,1:29.041,89.041,50.708
24,11,7,1:29.135,89.135,53.690
24,12,99,1:30.877,90.877,61.862
24,13,4,1:30.818,90.818,62.225
24,14,8,1:30.755,90.755,62.913
24,15,23,1:30.210,90.21,63.535
24,16,11,1:30.364,90.364,64.234
24,17,88,1:32.234,92.234,1 LAP
24,18,63,1:31.681,91.681,83.947
24,19,3,1:30.110,90.11,87.296
25,1,77,1:27.338,87.338,
25,2,16,1:29.205,89.205,6.177
25,3,44,1:28.634,88.634,12.232
25,4,33,1:45.970,105.97,PIT
25,5,5,1:28.899,88.899,14.332
25,6,18,1:29.601,89.601,31.089
25,7,26,1:29.167,89.167,33.108
25,8,10,1:29.272,89.272,33.932
25,9,20,1:29.066,89.066,44.461
25,10,27,1:28.945,88.945,46.188
25,11,7,1:29.128,89.128,49.353
25,12,99,1:31.004,91.004,59.401
25,13,4,1:30.946,90.946,59.706
25,14,8,1:30.902,90.902,60.350
25,15,23,1:30.943,90.943,61.013
25,16,11,1:30.696,90.696,61.465
25,17,88,1:32.265,92.265,1 LAP
25,18,63,1:31.605,91.605,82.087
25,19,3,1:30.501,90.501,84.332
26,1,77,1:27.450,87.45,
26,2,16,1:29.014,89.014,7.741
26,3,44,1:27.982,87.982,12.764
26,4,5,1:28.710,88.71,15.592
26,5,33,1:33.652,93.652,18.707
26,6,18,1:29.175,89.175,32.814
26,7,10,1:28.985,88.985,35.467
26,8,20,1:28.999,88.999,46.010
26,9,27,1:29.127,89.127,47.865
26,10,7,1:28.991,88.991,50.894
26,11,26,1:47.022,107.022,PIT
26,12,4,1:29.728,89.728,61.984
26,13,8,1:31.507,91.507,64.407
26,14,99,1:33.701,93.701,65.652
26,15,11,1:31.849,91.849,65.864
26,16,23,1:32.977,92.977,66.540
26,17,88,1:32.343,92.343,1 LAP
27,1,77,1:27.757,87.757,
27,2,3,1:32.156,92.156,1 LAP
27,3,16,1:29.275,89.275,9.259
27,4,44,1:28.674,88.674,13.681
27,5,63,1:49.321,109.321,PIT
27,6,5,1:28.705,88.705,16.540
27,7,33,1:27.638,87.638,18.588
27,8,10,1:28.412,88.412,36.122
27,9,20,1:29.002,89.002,47.255
27,10,27,1:29.137,89.137,49.245
27,11,7,1:28.793,88.793,51.930
27,12,18,1:47.488,107.488,PIT
27,13,26,1:35.659,95.659,60.582
27,14,4,1:28.981,88.981,63.208
27,15,8,1:29.048,89.048,65.698
27,16,11,1:29.691,89.691,67.798
27,17,23,1:32.409,92.409,71.192
27,18,88,1:32.580,92.58,1 LAP
28,1,77,1:27.511,87.511,
28,2,3,1:31.034,91.034,1 LAP
28,3,99,1:55.685,115.685,PIT
28,4,44,1:28.913,88.913,15.083
28,5,5,1:28.759,88.759,17.788
28,6,33,1:27.959,87.959,19.036
28,7,63,1:35.720,95.72,1 LAP
28,8,16,1:47.729,107.729,PIT
28,9,10,1:28.451,88.451,37.062
28,10,20,1:28.874,88.874,48.618
28,11,27,1:29.130,89.13,50.864
28,12,7,1:29.172,89.172,53.591
28,13,18,1:34.000,94.0,59.034
28,14,26,1:27.652,87.652,60.723
28,15,4,1:29.191,89.191,64.888
28,16,8,1:28.727,88.727,66.914
28,17,11,1:29.365,89.365,69.652
28,18,23,1:30.335,90.335,74.016
28,19,88,1:31.779,91.779,1 LAP
29,1,77,1:27.659,87.659,
29,2,3,1:30.733,90.733,1 LAP
29,3,99,1:34.894,94.894,1 LAP
29,4,44,1:28.681,88.681,16.105
29,5,5,1:28.207,88.207,18.336
29,6,33,1:27.547,87.547,18.924
29,7,63,1:29.491,89.491,1 LAP
29,8,16,1:33.404,93.404,35.222
29,9,10,1:28.713,88.713,38.116
29,10,20,1:28.924,88.924,49.883
29,11,27,1:28.848,88.848,52.053
29,12,7,1:29.298,89.298,55.230
29,13,18,1:27.568,87.568,58.943
29,14,26,1:28.039,88.039,61.103
29,15,4,1:29.110,89.11,66.339
29,16,8,1:29.203,89.203,68.458
29,17,11,1:29.835,89.835,71.828
29,18,23,1:29.927,89.927,76.284
30,1,77,1:27.537,87.537,
30,2,99,1:28.479,88.479,1 LAP
30,3,44,1:28.507,88.507,17.075
30,4,88,1:50.779,110.779,PIT
30,5,5,1:28.343,88.343,19.142
30,6,33,1:28.060,88.06,19.447
30,7,63,1:30.039,90.039,1 LAP
30,8,16,1:27.240,87.24,34.925
30,9,10,1:28.627,88.627,39.206
30,10,20,1:29.175,89.175,51.521
30,11,27,1:29.030,89.03,53.546
30,12,7,1:29.181,89.181,56.874
30,13,18,1:28.019,88.019,59.425
30,14,26,1:27.931,87.931,61.497
30,15,4,1:29.244,89.244,68.046
30,16,11,1:29.609,89.609,73.900
30,17,23,1:29.784,89.784,78.531
31,1,77,1:27.235,87.235,
31,2,99,1:29.031,89.031,1 LAP
31,3,44,1:28.320,88.32,18.160
31,4,33,1:27.915,87.915,20.127
31,5,5,1:30.051,90.051,21.958
31,6,88,1:36.902,96.902,2 LAPS
31,7,63,1:30.045,90.045,1 LAP
31,8,16,1:27.775,87.775,35.465
31,9,10,1:28.966,88.966,40.937
31,10,20,1:29.068,89.068,53.354
31,11,27,1:29.053,89.053,55.364
31,12,7,1:28.804,88.804,58.443
31,13,18,1:28.250,88.25,60.440
31,14,26,1:28.350,88.35,62.612
31,15,4,1:29.076,89.076,69.887
31,16,11,1:29.686,89.686,76.351
31,17,23,1:30.207,90.207,81.503
32,1,77,1:27.266,87.266,
32,2,99,1:28.933,88.933,1 LAP
32,3,44,1:27.954,87.954,18.848
32,4,33,1:27.545,87.545,20.406
32,5,5,1:28.489,88.489,23.181
32,6,88,1:29.284,89.284,2 LAPS
32,7,63,1:30.014,90.014,1 LAP
32,8,16,1:27.752,87.752,35.951
32,9,10,1:28.825,88.825,42.496
32,10,20,1:28.936,88.936,55.024
32,11,27,1:29.169,89.169,57.267
32,12,7,1:28.860,88.86,60.037
32,13,18,1:28.599,88.599,61.773
32,14,26,1:27.991,87.991,63.337
32,15,4,1:28.948,88.948,71.569
32,16,11,1:29.037,89.037,78.122
32,17,23,1:29.457,89.457,83.694
33,1,77,1:27.362,87.362,
33,2,44,1:27.771,87.771,19.257
33,3,33,1:27.516,87.516,20.560
33,4,99,1:32.099,92.099,1 LAP
33,5,5,1:28.658,88.658,24.477
33,6,88,1:30.166,90.166,2 LAPS
33,7,16,1:28.113,88.113,36.702
33,8,63,1:31.934,91.934,1 LAP
33,9,10,1:29.207,89.207,44.341
33,10,20,1:28.805,88.805,56.467
33,11,27,1:29.052,89.052,58.957
33,12,7,1:28.936,88.936,61.611
33,13,18,1:28.863,88.863,63.274
33,14,26,1:27.926,87.926,63.901
33,15,4,1:28.994,88.994,73.201
33,16,11,1:29.162,89.162,79.922
33,17,23,1:29.376,89.376,85.708
34,1,77,1:27.927,87.927,
34,2,44,1:27.538,87.538,18.868
34,3,33,1:27.457,87.457,20.090
34,4,99,1:29.171,89.171,1 LAP
34,5,5,1:28.736,88.736,25.286
34,6,88,1:30.858,90.858,2 LAPS
34,7,16,1:28.115,88.115,36.890
34,8,63,1:30.419,90.419,1 LAP
34,9,10,1:28.974,88.974,45.388
34,10,20,1:29.212,89.212,57.752
34,11,27,1:29.001,89.001,60.031
34,12,7,1:29.031,89.031,62.715
34,13,18,1:28.830,88.83,64.177
34,14,26,1:28.760,88.76,64.734
34,15,4,1:28.946,88.946,74.220
34,16,11,1:29.016,89.016,81.011
34,17,23,1:29.265,89.265,87.046
35,1,77,1:27.610,87.61,
35,2,44,1:27.376,87.376,18.634
35,3,33,1:27.631,87.631,20.111
35,4,5,1:28.494,88.494,26.170
35,5,99,1:31.663,91.663,1 LAP
35,6,16,1:28.319,88.319,37.599
35,7,88,1:32.608,92.608,2 LAPS
35,8,63,1:30.558,90.558,1 LAP
35,9,10,1:29.590,89.59,47.368
35,10,20,1:29.041,89.041,59.183
35,11,27,1:29.050,89.05,61.471
35,12,7,1:28.667,88.667,63.772
35,13,18,1:28.871,88.871,65.438
35,14,26,1:28.617,88.617,65.741
35,15,4,1:29.088,89.088,75.698
35,16,11,1:29.381,89.381,82.782
36,1,77,1:27.465,87.465,
36,2,23,1:30.648,90.648,1 LAP
36,3,44,1:27.553,87.553,18.722
36,4,33,1:27.890,87.89,20.536
36,5,5,1:28.557,88.557,27.262
36,6,99,1:29.657,89.657,1 LAP
36,7,16,1:27.701,87.701,37.835
36,8,88,1:30.905,90.905,2 LAPS
36,9,63,1:30.522,90.522,1 LAP
36,10,10,1:29.661,89.661,49.564
36,11,20,1:29.015,89.015,60.733
36,12,27,1:28.970,88.97,62.976
36,13,7,1:28.748,88.748,65.055
36,14,18,1:28.674,88.674,66.647
36,15,26,1:28.998,88.998,67.274
36,16,4,1:28.866,88.866,77.099
36,17,11,1:28.808,88.808,84.125
37,1,77,1:27.108,87.108,
37,2,23,1:29.308,89.308,1 LAP
37,3,44,1:28.356,88.356,19.970
37,4,33,1:28.091,88.091,21.519
37,5,5,1:28.607,88.607,28.761
37,6,99,1:29.196,89.196,1 LAP
37,7,16,1:28.044,88.044,38.771
37,8,88,1:30.496,90.496,2 LAPS
37,9,63,1:30.393,90.393,1 LAP
37,10,20,1:28.926,88.926,62.551
37,11,27,1:28.967,88.967,64.835
37,12,7,1:29.193,89.193,67.140
37,13,18,1:29.276,89.276,68.815
37,14,10,1:47.175,107.175,PIT
37,15,26,1:34.774,94.774,74.940
37,16,4,1:28.734,88.734,78.725
37,17,11,1:29.264,89.264,86.281
38,1,77,1:27.358,87.358,
38,2,23,1:29.302,89.302,1 LAP
38,3,44,1:28.149,88.149,20.761
38,4,33,1:28.040,88.04,22.201
