lap_no,position,driver_no,lap_time,lap_time_sec,gap
29,8,63,1:35.603,95.603,1 LAP
29,9,23,1:34.496,94.496,41.853
29,10,88,1:38.620,98.62,1 LAP
29,11,55,1:34.604,94.604,65.610
29,12,3,1:40.221,100.221,PIT
29,13,10,1:35.452,95.452,70.706
29,14,18,1:35.750,95.75,72.517
29,15,27,1:35.116,95.116,74.965
29,16,11,1:34.881,94.881,75.712
29,17,16,1:34.248,94.248,76.224
29,18,8,1:35.696,95.696,90.765
30,1,77,1:34.530,94.53,
30,2,99,1:37.245,97.245,1 LAP
30,3,7,1:35.640,95.64,1 LAP
30,4,20,1:36.190,96.19,1 LAP
30,5,4,1:36.078,96.078,1 LAP
30,6,26,1:34.228,94.228,1 LAP
30,7,5,1:33.714,93.714,10.665
30,8,44,1:32.738,92.738,15.218
30,9,63,1:35.626,95.626,1 LAP
30,10,23,1:34.501,94.501,41.824
30,11,55,1:34.975,94.975,66.055
30,12,88,1:39.546,99.546,1 LAP
30,13,10,1:35.549,95.549,71.725
30,14,18,1:35.758,95.758,73.745
30,15,27,1:35.273,95.273,75.708
30,16,16,1:34.724,94.724,76.418
30,17,11,1:36.033,96.033,77.215
30,18,3,1:54.884,114.884,87.922
30,19,8,1:35.909,95.909,92.144
31,1,77,1:33.450,93.45,
31,2,99,1:35.932,95.932,1 LAP
31,3,7,1:36.031,96.031,1 LAP
31,4,20,1:36.169,96.169,1 LAP
31,5,4,1:36.062,96.062,1 LAP
31,6,26,1:35.324,95.324,1 LAP
31,7,44,1:33.025,93.025,14.793
31,8,5,1:37.594,97.594,PIT
31,9,63,1:35.741,95.741,1 LAP
31,10,23,1:34.512,94.512,42.886
31,11,55,1:34.614,94.614,67.219
31,12,88,1:38.553,98.553,1 LAP
31,13,10,1:36.125,96.125,74.400
31,14,18,1:35.698,95.698,75.993
31,15,16,1:34.949,94.949,77.917
31,16,27,1:36.431,96.431,78.689
31,17,11,1:35.868,95.868,79.633
31,18,3,1:34.297,94.297,88.769
32,1,77,1:33.909,93.909,
32,2,8,1:37.916,97.916,1 LAP
32,3,99,1:36.011,96.011,1 LAP
32,4,7,1:35.684,95.684,1 LAP
32,5,4,1:34.116,94.116,1 LAP
32,6,26,1:35.133,95.133,1 LAP
32,7,20,1:37.943,97.943,1 LAP
32,8,44,1:32.513,92.513,13.397
32,9,5,1:52.791,112.791,33.691
32,10,63,1:36.961,96.961,1 LAP
32,11,23,1:34.325,94.325,43.302
32,12,55,1:34.220,94.22,67.530
32,13,10,1:35.470,95.47,75.961
32,14,18,1:35.597,95.597,77.681
32,15,16,1:34.194,94.194,78.202
32,16,27,1:35.339,95.339,80.119
32,17,11,1:35.259,95.259,80.983
32,18,88,1:43.629,103.629,1 LAP
32,19,3,1:34.112,94.112,88.972
33,1,77,1:33.166,93.166,
33,2,8,1:35.836,95.836,1 LAP
33,3,99,1:35.891,95.891,1 LAP
33,4,7,1:36.193,96.193,1 LAP
33,5,4,1:35.189,95.189,1 LAP
33,6,26,1:34.777,94.777,1 LAP
33,7,44,1:33.065,93.065,13.296
33,8,20,1:38.538,98.538,1 LAP
33,9,5,1:32.192,92.192,32.717
33,10,63,1:35.940,95.94,1 LAP
33,11,23,1:34.352,94.352,44.488
33,12,55,1:34.623,94.623,68.987
33,13,10,1:35.637,95.637,78.432
33,14,16,1:34.022,94.022,79.058
33,15,18,1:36.182,96.182,80.697
33,16,27,1:35.377,95.377,82.330
33,17,11,1:35.698,95.698,83.515
33,18,88,1:38.398,98.398,1 LAP
33,19,3,1:34.124,94.124,89.930
34,1,77,1:33.185,93.185,
34,2,8,1:35.935,95.935,1 LAP
34,3,99,1:35.979,95.979,1 LAP
34,4,7,1:36.634,96.634,1 LAP
34,5,4,1:36.276,96.276,1 LAP
34,6,44,1:34.503,94.503,14.614
34,7,26,1:36.754,96.754,1 LAP
34,8,20,1:36.577,96.577,1 LAP
34,9,5,1:32.405,92.405,31.937
34,10,63,1:35.977,95.977,1 LAP
34,11,23,1:36.582,96.582,PIT
34,12,55,1:34.623,94.623,70.425
34,13,16,1:35.362,95.362,81.235
34,14,10,1:36.889,96.889,82.136
34,15,18,1:35.807,95.807,83.319
34,16,27,1:35.324,95.324,84.469
34,17,11,1:35.297,95.297,85.627
34,18,3,1:34.303,94.303,91.048
35,1,77,1:34.021,94.021,
35,2,88,1:43.586,103.586,PIT
35,3,8,1:35.918,95.918,1 LAP
35,4,99,1:36.363,96.363,1 LAP
35,5,44,1:33.224,93.224,13.817
35,6,4,1:35.882,95.882,1 LAP
35,7,26,1:35.666,95.666,1 LAP
35,8,7,1:38.548,98.548,1 LAP
35,9,20,1:36.576,96.576,1 LAP
35,10,5,1:32.609,92.609,30.525
35,11,63,1:35.780,95.78,1 LAP
35,12,23,1:53.575,113.575,67.439
35,13,55,1:34.413,94.413,70.817
35,14,16,1:33.160,93.16,80.374
35,15,10,1:35.739,95.739,83.854
35,16,18,1:35.751,95.751,85.049
35,17,27,1:35.560,95.56,86.008
35,18,11,1:35.278,95.278,86.884
35,19,3,1:34.254,94.254,91.281
36,1,77,1:35.853,95.853,PIT
36,2,8,1:35.913,95.913,1 LAP
36,3,44,1:32.540,92.54,10.504
36,4,99,1:36.919,96.919,1 LAP
36,5,4,1:35.326,95.326,1 LAP
36,6,26,1:34.912,94.912,1 LAP
36,7,7,1:36.925,96.925,1 LAP
36,8,20,1:35.950,95.95,1 LAP
36,9,88,1:57.831,117.831,2 LAPS
36,10,5,1:32.937,92.937,27.609
36,11,63,1:35.795,95.795,1 LAP
36,12,23,1:32.775,92.775,64.361
36,13,55,1:34.197,94.197,69.161
36,14,16,1:32.794,92.794,77.315
36,15,10,1:35.700,95.7,83.701
36,16,18,1:35.599,95.599,84.795
36,17,27,1:35.497,95.497,85.652
36,18,11,1:35.474,95.474,86.505
36,19,3,1:34.649,94.649,90.077
37,1,44,1:32.551,92.551,
37,2,8,1:37.434,97.434,1 LAP
37,3,99,1:35.594,95.594,1 LAP
